transaction_id,transaction_date,customer_id,product_id,product_name,category,subcategory,region,quantity,unit_price,discount_pct,revenue,cost,profit,sales_channel,payment_method,customer_segment
TXN-000031,2023-02-06,CUST-00495,PROD-0059,UPS 1500VA,Hardware,Peripherals,Middle East & Africa,1,9230.25,20.0,7384.2,5154.28,2229.92,Partner,Purchase Order,Startup
TXN-000032,2024-11-22,CUST-00066,PROD-0057,Docking Station,Hardware,Peripherals,North America,1,13064.69,,13064.69,9308.4,3756.29,Direct,Purchase Order,Enterprise
TXN-000033,2024-10-02,CUST-00227,PROD-0013,Managed Switch 24P,Electronics,Networking,Asia Pacific,11,9881.98,25.0,81526.31,59095.19,22431.12,Reseller,Wire Transfer,Mid-Market
TXN-000034,2024-12-08,CUST-00102,PROD-0002,EliteBook 840,Electronics,Laptops,North America,1,6104.19,0.0,6104.19,3920.08,2184.11,Partner,Net 30,Mid-Market
TXN-000035,2023-04-03,CUST-00258,PROD-0061,RAM 32GB,Hardware,Components,Asia Pacific,2,3368.35,0.0,6736.71,3366.84,3369.87,Partner,Net 60,Startup
TXN-000036,2025-01-26,CUST-00246,PROD-0059,UPS 1500VA,Hardware,Peripherals,Asia Pacific,1,10675.65,0.0,10675.65,5154.28,5521.37,Online,Net 30,Mid-Market
TXN-000037,2025-04-09,CUST-00288,PROD-0023,HR Suite,Software,SaaS Subscriptions,Latin America,4,2066.21,5.0,7851.58,6671.24,1180.34,Partner,Wire Transfer,Government
TXN-000038,2025-11-10,CUST-00404,PROD-0065,EC2 Instance,Cloud Infrastructure,Compute,Europe,1,7754.85,0.0,7754.85,4534.45,3220.4,Direct,Purchase Order,Enterprise
TXN-000039,2025-05-10,CUST-00145,PROD-0035,Security Audit,Services,Consulting,Latin America,2,9405.87,0.0,18811.74,9432.88,9378.86,Partner,Net 60,SMB
TXN-000040,2024-06-23,CUST-00233,PROD-0018,Security Platform,Software,Licenses,Asia Pacific,1,16465.82,,16465.82,10788.97,5676.85,Online,Credit Card,Startup
TXN-000041,2023-11-17,CUST-00393,PROD-0037,Admin Training,Services,Training,Latin America,1,7739.98,0.0,7739.98,5900.81,1839.17,Partner,Credit Card,Mid-Market
TXN-000042,2025-11-10,CUST-00455,PROD-0067,Container Service,Cloud Infrastructure,Compute,Europe,1,14746.95,15.0,12534.91,8452.38,4082.53,Direct,Credit Card,Government
TXN-000043,2023-11-09,CUST-00153,PROD-0031,Enterprise Support,Software,Support Plans,Asia Pacific,1,13271.66,25.0,9953.75,7769.8,2183.95,Online,Purchase Order,Government
TXN-000044,2025-05-30,CUST-00189,PROD-0070,Block Storage,Cloud Infrastructure,Cloud Storage,Asia Pacific,1,11056.0,15.0,9397.6,6942.3,2455.3,Online,Net 30,Enterprise
TXN-000045,2023-05-09,CUST-00020,PROD-0062,SSD 1TB,Hardware,Components,Middle East & Africa,1,7900.17,0.0,7900.17,2656.93,5243.24,Partner,Net 60,Startup
TXN-000046,2024-07-25,CUST-00435,PROD-0043,Integration Setup,Services,Implementation,Asia Pacific,1,11460.99,15.0,9741.84,5870.62,3871.22,Partner,Net 30,Mid-Market
TXN-000047,2024-07-26,CUST-00068,PROD-0078,Inference API,Cloud Infrastructure,AI/ML Services,North America,2,12661.72,10.0,22791.1,14048.4,8742.7,Partner,Net 60,Enterprise
TXN-000048,2025-07-22,CUST-00279,PROD-0046,App Monitoring,Services,Managed Services,Europe,3,2981.77,15.0,7603.5,2785.65,4817.85,Online,Wire Transfer,Government
TXN-000049,2025-12-03,CUST-00314,PROD-0028,Mobile App,Software,Custom Development,Middle East & Africa,6,8256.43,5.0,47061.63,34087.68,12973.95,Direct,Credit Card,SMB
TXN-000050,2025-09-23,CUST-00196,PROD-0051,Blade Server,Hardware,Servers,North America,1,10338.78,20.0,8271.02,3386.24,4884.78,Direct,Credit Card,Mid-Market
TXN-000051,2025-12-12,CUST-00480,PROD-0063,CPU Xeon,Hardware,Components,Latin America,3,12343.61,20.0,29624.67,13738.44,15886.23,Partner,Credit Card,SMB
TXN-000052,2025-11-08,CUST-00211,PROD-0006,ProDisplay 32,Electronics,Monitors,Asia Pacific,4,14530.86,5.0,55217.28,21824.76,33392.52,Online,Net 30,SMB
TXN-000053,2025-02-20,CUST-00436,PROD-0057,Docking Station,Hardware,Peripherals,Asia Pacific,4,14090.92,0.0,56363.67,37233.6,19130.07,Reseller,Purchase Order,Startup
TXN-000054,2025-07-02,CUST-00393,PROD-0001,ProBook 450,Electronics,Laptops,Asia Pacific,5,6697.07,25.0,25114.02,21876.4,3237.62,Direct,Net 30,Enterprise
TXN-000055,2024-05-23,CUST-00092,PROD-0024,Project Manager,Software,SaaS Subscriptions,Asia Pacific,1,12173.09,0.0,12173.09,3980.45,8192.64,Online,Net 30,Startup
TXN-000056,2024-01-23,CUST-00238,PROD-0028,Mobile App,Software,Custom Development,Asia Pacific,1,7108.84,10.0,6397.95,5681.28,716.67,Online,Purchase Order,Government
TXN-000057,2023-05-14,CUST-00029,PROD-0014,WiFi 6E Router,Electronics,Networking,Middle East & Africa,1,10481.16,0.0,10481.16,3978.55,6502.61,Partner,Wire Transfer,Startup
TXN-000058,2023-09-04,CUST-00431,PROD-0028,Mobile App,Software,Custom Development,Europe,1,8065.61,0.0,8065.61,5681.28,2384.33,Direct,Net 30,Mid-Market
TXN-000059,2025-01-31,CUST-00356,PROD-0037,Admin Training,Services,Training,Europe,7,8496.53,20.0,47580.55,41305.67,6274.88,Online,Credit Card,SMB
TXN-000060,2023-05-28,CUST-00242,PROD-0074,NoSQL Service,Cloud Infrastructure,Database,North America,1,10050.96,0.0,10050.96,4108.57,5942.39,Partner,Net 30,Mid-Market
TXN-000061,2024-12-28,CUST-00105,PROD-0013,Managed Switch 24P,Electronics,Networking,North America,1,9030.04,0.0,9030.04,5372.29,3657.75,Direct,,Startup
TXN-000062,2024-07-20,CUST-00135,PROD-0043,Integration Setup,Services,Implementation,North America,1,10920.87,0.0,10920.87,5870.62,5050.25,Online,Purchase Order,Enterprise
TXN-000063,2023-12-28,CUST-00053,PROD-0023,HR Suite,Software,SaaS Subscriptions,Middle East & Africa,7,2082.05,25.0,10930.74,11674.67,-743.93,Reseller,Purchase Order,
TXN-000064,2024-07-11,CUST-00122,PROD-0062,SSD 1TB,Hardware,Components,Latin America,4,8723.35,20.0,27914.72,10627.72,17287.0,Partner,Net 60,Mid-Market
TXN-000065,2023-09-21,CUST-00387,PROD-0069,S3 Bucket,Cloud Infrastructure,Cloud Storage,North America,6,11412.72,25.0,51357.26,42034.56,9322.7,Direct,Net 30,Mid-Market
TXN-000066,2025-06-10,CUST-00058,PROD-0031,Enterprise Support,Software,Support Plans,Middle East & Africa,3,12140.2,20.0,29136.47,23309.4,5827.07,Reseller,Purchase Order,Mid-Market
TXN-000067,2023-02-07,CUST-00262,PROD-0030,Premium Support,Software,Support Plans,North America,4,4426.61,25.0,13279.82,9823.08,3456.74,Online,Net 30,Enterprise
TXN-000068,2023-09-25,CUST-00458,PROD-0048,Database Admin,Services,Managed Services,Europe,2,8395.22,20.0,13432.36,10070.8,3361.56,Online,Purchase Order,SMB
TXN-000069,2025-01-18,CUST-00474,PROD-0047,Security Ops,Services,Managed Services,Middle East & Africa,1,4096.34,5.0,3891.52,1906.14,1985.38,Direct,Purchase Order,Government
TXN-000070,2023-07-07,CUST-00020,PROD-0008,Studio Display,Electronics,Monitors,Europe,9,6947.15,10.0,56271.94,25248.06,31023.88,Partner,Net 30,Enterprise
TXN-000071,2024-09-11,CUST-00064,PROD-0023,HR Suite,Software,SaaS Subscriptions,Asia Pacific,3,2568.4,20.0,6164.17,5003.43,1160.74,Partner,Net 30,Mid-Market
TXN-000072,2025-03-12,CUST-00243,PROD-0049,Rack Server 1U,Hardware,Servers,Europe,1,13661.43,20.0,10929.14,5991.23,4937.91,Direct,Net 30,
TXN-000073,2024-03-16,CUST-00289,PROD-0028,Mobile App,Software,Custom Development,Asia Pacific,1,7949.3,15.0,6756.91,5681.28,1075.63,Partner,Net 30,Enterprise
TXN-000074,2023-02-23,CUST-00131,PROD-0061,RAM 32GB,Hardware,Components,Asia Pacific,1,2665.41,0.0,2665.41,1683.42,981.99,Direct,Net 60,Startup
TXN-000075,2025-04-03,CUST-00477,PROD-0052,GPU Server,Hardware,Servers,North America,4,5801.5,15.0,19725.1,16510.2,3214.9,Partner,Purchase Order,Government
TXN-000076,2023-05-02,CUST-00080,PROD-0030,Premium Support,Software,Support Plans,Middle East & Africa,1,5001.71,,4001.37,2455.77,1545.6,Reseller,Credit Card,SMB
TXN-000077,2025-10-30,CUST-00087,PROD-0007,ThinkVision 24,Electronics,Monitors,Asia Pacific,1,7952.9,10.0,7157.61,4329.67,2827.94,Direct,Credit Card,SMB
TXN-000078,2025-04-07,CUST-00101,PROD-0078,Inference API,Cloud Infrastructure,AI/ML Services,Europe,2,11582.18,,20847.92,14048.4,6799.52,Reseller,Credit Card,Government
TXN-000079,2023-11-23,CUST-00024,PROD-0035,Security Audit,Services,Consulting,Middle East & Africa,1,11411.08,10.0,10269.98,4716.44,5553.54,Online,Net 60,Mid-Market
TXN-000080,2025-11-13,CUST-00147,PROD-0055,Backup Appliance,Hardware,Storage,North America,7,12475.41,0.0,87327.84,36604.12,50723.72,Partner,Wire Transfer,Mid-Market
TXN-000081,2025-08-11,CUST-00098,PROD-0010,Mechanical Keyboard,Electronics,Accessories,Europe,1,13527.8,0.0,13527.8,6853.26,6674.54,Reseller,Credit Card,SMB
TXN-000082,2024-10-04,CUST-00034,PROD-0079,AutoML Pipeline,Cloud Infrastructure,AI/ML Services,Middle East & Africa,10,9759.61,,92716.28,29543.1,63173.18,Partner,Wire Transfer,Government
TXN-000083,2023-03-13,CUST-00318,PROD-0055,Backup Appliance,Hardware,Storage,Middle East & Africa,4,12536.24,0.0,50144.96,20916.64,29228.32,Online,Wire Transfer,SMB
TXN-000084,2023-10-16,CUST-00124,PROD-0044,Go-Live Support,Services,Implementation,North America,1,5897.37,0.0,5897.37,2626.47,3270.9,Direct,Net 60,Enterprise
TXN-000085,2025-02-09,CUST-00428,PROD-0045,Infrastructure Mgmt,Services,Managed Services,Latin America,1,2505.79,0.0,2505.79,930.92,1574.87,Reseller,Net 60,Mid-Market
TXN-000086,2025-01-14,CUST-00136,PROD-0051,Blade Server,Hardware,Servers,North America,3,8236.2,20.0,19766.89,10158.72,9608.17,Partner,Credit Card,Government
TXN-000087,2024-09-11,CUST-00370,PROD-0025,API Integration,Software,Custom Development,Middle East & Africa,7,8788.06,0.0,61516.43,49078.19,12438.24,Partner,Net 30,Mid-Market
TXN-000088,2024-04-23,CUST-00025,PROD-0055,Backup Appliance,Hardware,Storage,Europe,1,10899.7,0.0,10899.7,5229.16,5670.54,Direct,Purchase Order,Mid-Market
TXN-000089,2023-12-29,CUST-00117,PROD-0035,Security Audit,Services,Consulting,Middle East & Africa,1,11536.75,10.0,10383.07,4716.44,5666.63,Online,Wire Transfer,Mid-Market
TXN-000090,2023-04-21,CUST-00170,PROD-0020,Analytics Pro,Software,Licenses,Middle East & Africa,1,10493.74,0.0,10493.74,4893.82,5599.92,Direct,Net 30,SMB
TXN-000091,2023-01-23,CUST-00092,PROD-0065,EC2 Instance,Cloud Infrastructure,Compute,Europe,1,9049.0,0.0,9049.0,4534.45,4514.55,Reseller,Net 60,SMB
TXN-000092,2025-12-13,CUST-00404,PROD-0066,Lambda Function,Cloud Infrastructure,Compute,Latin America,1,1696.65,20.0,1357.32,719.87,637.45,Reseller,Purchase Order,Mid-Market
TXN-000093,2023-11-18,CUST-00434,PROD-0023,HR Suite,Software,SaaS Subscriptions,Europe,1,2356.54,0.0,2356.54,1667.81,688.73,Partner,Wire Transfer,Mid-Market
TXN-000094,2025-10-13,CUST-00271,PROD-0052,GPU Server,Hardware,Servers,Europe,5,4954.52,5.0,23533.99,20637.75,2896.24,Partner,Credit Card,Mid-Market
TXN-000095,2024-12-19,CUST-00317,PROD-0019,DevOps Tools,Software,Licenses,Asia Pacific,4,2330.75,0.0,9323.0,3790.04,5532.96,Direct,Net 30,
TXN-000096,2023-11-19,CUST-00310,PROD-0039,Executive Briefing,Services,Training,North America,1,12780.93,25.0,9585.7,7231.22,2354.48,Partner,Credit Card,Mid-Market
TXN-000097,2023-04-19,CUST-00079,PROD-0068,Batch Processing,Cloud Infrastructure,Compute,Asia Pacific,6,5961.28,0.0,35767.67,16497.3,19270.37,Direct,Net 30,SMB
TXN-000098,2024-06-22,CUST-00142,PROD-0041,System Setup,Services,Implementation,Europe,1,6215.63,0.0,6215.63,3416.96,2798.67,Online,Credit Card,Startup
TXN-000099,2025-10-07,CUST-00004,PROD-0012,Webcam HD,Electronics,Accessories,Latin America,2,2564.69,0.0,5129.38,4413.6,715.78,Online,Net 60,Government
TXN-000100,2025-01-26,CUST-00498,PROD-0012,Webcam HD,Electronics,Accessories,Latin America,2,3227.53,5.0,6132.31,4413.6,1718.71,Partner,Credit Card,Mid-Market
TXN-000101,2024-02-21,CUST-00105,PROD-0066,Lambda Function,Cloud Infrastructure,Compute,Middle East & Africa,1,1685.66,0.0,1685.66,719.87,965.79,Partner,Credit Card,SMB
TXN-000102,2025-05-19,CUST-00467,PROD-0047,Security Ops,Services,Managed Services,Latin America,1,3613.28,,3071.29,1906.14,1165.15,Online,Wire Transfer,Startup
TXN-000103,2024-06-24,CUST-00267,PROD-0062,SSD 1TB,Hardware,Components,Europe,4,9554.54,25.0,28663.61,10627.72,18035.89,Direct,,Startup
TXN-000104,2024-10-16,CUST-00239,PROD-0056,Flash Storage,Hardware,Storage,Europe,27,4213.6,10.0,102390.52,34410.69,67979.83,Online,Net 30,Startup
TXN-000105,2023-12-20,CUST-00409,PROD-0046,App Monitoring,Services,Managed Services,North America,1,2517.41,0.0,2517.41,928.55,1588.86,Partner,Wire Transfer,Mid-Market
TXN-000106,2024-08-29,CUST-00178,PROD-0033,Strategy Review,Services,Consulting,Latin America,7,7318.03,0.0,51226.22,25052.86,26173.36,Online,Wire Transfer,Enterprise
TXN-000107,2024-07-23,CUST-00286,PROD-0039,Executive Briefing,Services,Training,North America,1,11303.75,0.0,11303.75,7231.22,4072.53,Direct,Wire Transfer,Startup
TXN-000108,2025-06-25,CUST-00251,PROD-0035,Security Audit,Services,Consulting,Middle East & Africa,1,10964.49,25.0,8223.37,4716.44,3506.93,Reseller,Net 30,Government
TXN-000109,2023-09-10,CUST-00102,PROD-0023,HR Suite,Software,SaaS Subscriptions,Latin America,1,2456.89,0.0,2456.89,1667.81,789.08,Direct,Wire Transfer,Government
TXN-000110,2025-07-22,CUST-00251,PROD-0068,Batch Processing,Cloud Infrastructure,Compute,Middle East & Africa,1,5971.68,0.0,5971.68,2749.55,3222.13,Direct,Net 60,Enterprise
TXN-000111,2025-12-03,CUST-00216,PROD-0050,Tower Server,Hardware,Servers,Middle East & Africa,5,11006.9,0.0,55034.49,29793.35,25241.14,Reseller,Credit Card,Mid-Market
TXN-000112,2023-04-13,CUST-00104,PROD-0071,Archive Storage,Cloud Infrastructure,Cloud Storage,Europe,3,5236.7,15.0,13353.59,7718.61,5634.98,Direct,Purchase Order,Startup
TXN-000113,2025-07-21,CUST-00045,PROD-0004,MacBook Pro 14,Electronics,Laptops,Europe,20,12450.03,25.0,104668.54,204046.0,-99377.46,Online,Net 60,Mid-Market
TXN-000114,2025-09-28,CUST-00127,PROD-0065,EC2 Instance,Cloud Infrastructure,Compute,North America,1,9005.91,5.0,8555.62,4534.45,4021.17,Reseller,Purchase Order,SMB
TXN-000115,2025-06-30,CUST-00296,PROD-0046,App Monitoring,Services,Managed Services,North America,1,3214.64,15.0,2732.45,928.55,1803.9,Reseller,Wire Transfer,Mid-Market
TXN-000116,2024-05-15,CUST-00363,PROD-0067,Container Service,Cloud Infrastructure,Compute,Latin America,2,16436.52,20.0,26298.43,16904.76,9393.67,Reseller,Net 60,Startup
TXN-000117,2024-04-23,CUST-00386,PROD-0055,Backup Appliance,Hardware,Storage,North America,2,11105.36,10.0,19989.64,10458.32,9531.32,Online,Net 30,Startup
TXN-000118,2023-06-10,CUST-00116,PROD-0065,EC2 Instance,Cloud Infrastructure,Compute,Middle East & Africa,1,8082.73,0.0,8082.73,4534.45,3548.28,Reseller,Net 30,Government
TXN-000119,2024-01-26,CUST-00496,PROD-0050,Tower Server,Hardware,Servers,North America,1,10056.12,15.0,8547.7,5958.67,2589.03,Partner,Net 60,Startup
TXN-000120,2023-04-15,CUST-00104,PROD-0032,24/7 Critical,Software,Support Plans,Asia Pacific,2,9840.38,25.0,14760.57,11677.52,3083.05,Reseller,Credit Card,Enterprise
TXN-000121,2025-12-05,CUST-00218,PROD-0034,Architecture Design,Services,Consulting,Middle East & Africa,1,10781.52,15.0,9164.3,5116.5,4047.8,Reseller,Net 60,Enterprise
TXN-000122,2023-12-22,CUST-00098,PROD-0005,UltraSharp 27,Electronics,Monitors,Middle East & Africa,1,14943.8,25.0,11207.85,5626.76,5581.09,Reseller,Wire Transfer,Enterprise
TXN-000123,2025-06-17,CUST-00355,PROD-0024,Project Manager,Software,SaaS Subscriptions,Middle East & Africa,2,12442.18,0.0,24884.37,7960.9,16923.47,Online,Wire Transfer,Mid-Market
TXN-000124,2025-11-10,CUST-00017,PROD-0058,KVM Switch,Hardware,Peripherals,Asia Pacific,2,10542.01,25.0,15813.02,13439.48,2373.54,Direct,Purchase Order,SMB
TXN-000125,2025-08-02,CUST-00258,PROD-0050,Tower Server,Hardware,Servers,Asia Pacific,1,10761.76,15.0,9147.49,5958.67,3188.82,Partner,Wire Transfer,Government
TXN-000126,2024-11-12,CUST-00126,PROD-0010,Mechanical Keyboard,Electronics,Accessories,Latin America,1,13724.45,25.0,10293.34,6853.26,3440.08,Online,Credit Card,Mid-Market
TXN-000127,2023-08-01,CUST-00438,PROD-0074,NoSQL Service,Cloud Infrastructure,Database,Asia Pacific,1,13171.63,10.0,11854.47,4108.57,7745.9,Online,Wire Transfer,Mid-Market
TXN-000128,2025-02-14,CUST-00041,PROD-0056,Flash Storage,Hardware,Storage,Asia Pacific,7,3976.07,20.0,22265.99,8921.29,13344.7,Partner,Wire Transfer,SMB
TXN-000129,2023-11-24,CUST-00103,PROD-0007,ThinkVision 24,Electronics,Monitors,North America,1,8663.44,,6497.58,4329.67,2167.91,Online,Net 30,Mid-Market
TXN-000130,2024-02-06,CUST-00021,PROD-0024,Project Manager,Software,SaaS Subscriptions,Middle East & Africa,2,11453.55,0.0,22907.1,7960.9,14946.2,Reseller,Wire Transfer,SMB
TXN-000131,2025-03-27,CUST-00380,PROD-0019,DevOps Tools,Software,Licenses,North America,6,2722.78,0.0,16336.67,5685.06,10651.61,Direct,Purchase Order,Enterprise
TXN-000132,2025-06-08,CUST-00368,PROD-0008,Studio Display,Electronics,Monitors,Latin America,2,6614.45,0.0,13228.91,5610.68,7618.23,Partner,Purchase Order,Startup
TXN-000133,2025-11-10,CUST-00201,PROD-0050,Tower Server,Hardware,Servers,North America,2,11199.41,15.0,19038.99,11917.34,7121.65,Direct,Purchase Order,Mid-Market
TXN-000134,2025-06-08,CUST-00386,PROD-0013,Managed Switch 24P,Electronics,Networking,Latin America,2,9009.06,0.0,18018.12,10744.58,7273.54,Direct,Credit Card,
TXN-000135,2024-10-05,CUST-00453,PROD-0005,UltraSharp 27,Electronics,Monitors,Latin America,1,15192.86,0.0,15192.86,5626.76,9566.1,Direct,Wire Transfer,Mid-Market
TXN-000136,2024-02-08,CUST-00024,PROD-0040,Certification Prep,Services,Training,Europe,7,3630.43,0.0,25413.0,10453.24,14959.76,Partner,Net 60,Startup
TXN-000137,2023-12-03,CUST-00399,PROD-0023,HR Suite,Software,SaaS Subscriptions,Latin America,5,2661.25,0.0,13306.27,8339.05,4967.22,Reseller,Net 30,Mid-Market
TXN-000138,2024-02-01,CUST-00282,PROD-0026,Dashboard Build,Software,Custom Development,Asia Pacific,3,590.52,25.0,1328.67,827.16,501.51,Direct,Net 30,Mid-Market
TXN-000139,2024-08-15,CUST-00409,PROD-0013,Managed Switch 24P,Electronics,Networking,Europe,1,7743.38,10.0,6969.05,5372.29,1596.76,Online,Credit Card,Government
TXN-000140,2025-11-30,CUST-00495,PROD-0063,CPU Xeon,Hardware,Components,Middle East & Africa,1,15593.47,0.0,15593.47,4579.48,11013.99,Partner,,Enterprise
TXN-000141,2023-12-31,CUST-00166,PROD-0077,Model Training,Cloud Infrastructure,AI/ML Services,Asia Pacific,1,10110.39,0.0,10110.39,6380.07,3730.32,Direct,Credit Card,Enterprise
TXN-000142,2023-06-25,CUST-00174,PROD-0079,AutoML Pipeline,Cloud Infrastructure,AI/ML Services,Middle East & Africa,3,7620.05,0.0,22860.16,8862.93,13997.23,Reseller,Net 60,Government
TXN-000143,2023-06-17,CUST-00091,PROD-0067,Container Service,Cloud Infrastructure,Compute,Asia Pacific,1,15647.44,0.0,15647.44,8452.38,7195.06,Reseller,Purchase Order,Mid-Market
TXN-000144,2023-03-04,CUST-00341,PROD-0051,Blade Server,Hardware,Servers,North America,1,9358.59,0.0,9358.59,3386.24,5972.35,Reseller,Net 60,Enterprise
TXN-000145,2025-11-23,CUST-00183,PROD-0018,Security Platform,Software,Licenses,Middle East & Africa,1,13673.57,0.0,13673.57,10788.97,2884.6,Direct,Wire Transfer,Startup
TXN-000146,2025-03-27,CUST-00246,PROD-0043,Integration Setup,Services,Implementation,Latin America,3,9133.02,0.0,27399.05,17611.86,9787.19,Partner,Net 30,Enterprise
TXN-000147,2025-04-18,CUST-00463,PROD-0052,GPU Server,Hardware,Servers,North America,4,5941.2,0.0,23764.79,16510.2,7254.59,Partner,Credit Card,Enterprise
TXN-000148,2024-10-21,CUST-00364,PROD-0015,Access Point Pro,Electronics,Networking,Asia Pacific,1,9443.26,5.0,8971.09,4317.86,4653.23,Direct,Wire Transfer,Government
